Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,VMT,Trips,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HTSK,ROG_RUNLS,ROG_RESTL,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HTSK,TOG_RUNLS,TOG_RESTL,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,PM2_5_RUNEX,PM2_5_IDLEX,PM2_5_STREX,PM2_5_TOTEX,PM2_5_PMTW,PM2_5_PMBW,PM2_5_TOTAL,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,Fuel Consumption
Statewide,2016,HHDT,Aggregated,Aggregated,GAS,455.2218338,19813.55838,9108.07845,0.069030806,0,0,0.069030806,0.000138885,0.008317537,0.03259604,6.89841E-05,0.110152251,0.086573739,0,0,0.086573739,0.000138885,0.008317537,0.03259604,6.89841E-05,0.127695185,2.598354509,0,0.021148212,2.619502721,0.248452219,0,0.008439876,0.256892095,53.39751454,0,0.916386111,54.31390065,0.009382767,0,0,0.009382767,0.000169889,0,6.59925E-05,0.000235882,0.000436814,0.001348445,0.002021141,0.000160195,0,6.26153E-05,0.00022281,0.000109204,0.000577905,0.000909919,0.000528412,0,9.06838E-06,0.00053748,0.00638017,0,0.000209739,0.006589909,5.733006159
Statewide,2016,HHDT,Aggregated,Aggregated,DSL,281736.271,37056358.62,3017626.915,13.14398912,1.921258216,0,15.06524733,0,0,0,0,15.06524733,14.96343107,2.187206231,0,17.1506373,0,0,0,0,17.1506373,44.62904157,16.64862257,0,61.27766414,262.9328739,23.822335,3.664581929,290.4197908,65332.34463,3886.708271,0,69219.0529,0.610504251,0.089237468,0,0.699741719,6.405092608,0.141826973,0,6.546919582,1.455167294,2.495611909,10.49769878,6.128011137,0.135691601,0,6.263702739,0.363791823,1.069547961,7.697042523,0.617227597,0.036719693,0,0.65394729,10.26933477,0.610936415,0,10.88027118,6169.011759
Statewide,2016,HHDT,Aggregated,Aggregated,NG,4775.472105,193259.8658,18624.34121,0.136173436,0.000696697,0,0.136870133,0,0,0,0,0.136870133,1.42704607,0.008745993,0,1.435792063,0,0,0,0,1.435792063,2.294836922,0.100385369,0,2.39522229,1.381247426,0.1618099,0,1.543057325,757.9369915,23.42967227,0,781.3666638,1.266454732,0.007918191,0,1.274372923,0.002594619,0.000561962,0,0.003156581,0.007669171,0.013152629,0.023978381,0.002482377,0.000537652,0,0.003020029,0.001917293,0.005636841,0.010574163,0,0,0,0,0.154510414,0.004776292,0,0.159286706,90.31406894
Statewide,2016,LDA,Aggregated,Aggregated,GAS,13905676.75,554050375.7,65020353.13,20.2006023,0,32.68933644,52.88993874,6.954337026,12.45263447,24.55078783,5.447633746,102.2953318,28.58683763,0,35.78289811,64.36973575,6.954337026,12.45263447,24.55078783,5.447633746,113.7751288,820.0549141,0,197.2115255,1017.26644,65.38158081,0,22.04811183,87.42969264,190425.0998,0,4618.899129,195043.9989,4.409336198,0,6.441580697,10.8509169,1.062937774,0,0.164163801,1.227101575,4.885887967,22.44454785,28.55753739,0.978134323,0,0.151271848,1.129406171,1.221471992,9.619091935,11.9699701,1.884410732,0,0.045707751,1.930118483,5.395863217,0,2.374045008,7.769908225,20587.51873
Statewide,2016,LDA,Aggregated,Aggregated,DSL,105011.7767,4150956.386,484871.7937,0.172033985,0,0,0.172033985,0,0,0,0,0.172033985,0.195849254,0,0,0.195849254,0,0,0,0,0.195849254,1.712207978,0,0,1.712207978,1.280319808,0,0,1.280319808,1115.556514,0,0,1115.556514,0.00799065,0,0,0.00799065,0.106056656,0,0,0.106056656,0.036605169,0.168154997,0.310816822,0.101468692,0,0,0.101468692,0.009151292,0.072066427,0.182686411,0.010546021,0,0,0.010546021,0.175349949,0,0,0.175349949,99.42177715
Statewide,2016,LDA,Aggregated,Aggregated,ELEC,114850.6448,4150271.5,584610.5537,0,0,0,0,0.002517989,0.003149955,0,0.000818726,0.00648667,0,0,0,0,0.002517989,0.003149955,0,0.000818726,0.00648667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03659913,0.168127252,0.204726382,0,0,0,0,0.009149782,0.072054537,0.081204319,0,0,0,0,0,0,0,0,0
Statewide,2016,LDT1,Aggregated,Aggregated,GAS,1563272.184,56157771.67,6993580.954,5.703853709,0,5.936329659,11.64018337,1.882435815,2.915742358,10.46181187,1.323410517,28.22358393,7.862122216,0,6.497496634,14.35961885,1.882435815,2.915742358,10.46181187,1.323410517,30.94301941,186.8514444,0,25.01334553,211.86479,18.52829218,0,3.645693473,22.17398565,22533.89072,0,591.2091464,23125.09986,1.113891052,0,1.067045978,2.18093703,0.222755632,0,0.03197357,0.254729202,0.495226775,2.274947999,3.024903976,0.205232856,0,0.029482063,0.234714919,0.123806694,0.974977714,1.333499327,0.222991116,0,0.005850494,0.22884161,1.150707717,0,0.303424294,1.454132011,2440.928351
Statewide,2016,LDT1,Aggregated,Aggregated,DSL,2309.814331,47483.29836,8189.569601,0.012841009,0,0,0.012841009,0,0,0,0,0.012841009,0.014618635,0,0,0.014618635,0,0,0,0,0.014618635,0.0774115,0,0,0.0774115,0.074913137,0,0,0.074913137,23.885392,0,0,23.885392,0.00059644,0,0,0.00059644,0.009936957,0,0,0.009936957,0.000418731,0.001923546,0.012279233,0.009507088,0,0,0.009507088,0.000104683,0.000824377,0.010436148,0.000225803,0,0,0.000225803,0.003754451,0,0,0.003754451,2.128738518
Statewide,2016,LDT1,Aggregated,Aggregated,ELEC,2388.475811,73732.94154,11523.29483,0,0,0,0,5.30674E-05,6.2089E-05,0,1.69744E-05,0.000132131,0,0,0,0,5.30674E-05,6.2089E-05,0,1.69744E-05,0.000132131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000650213,0.002986917,0.00363713,0,0,0,0,0.000162553,0.001280107,0.001442661,0,0,0,0,0,0,0,0,0
Statewide,2016,LDT2,Aggregated,Aggregated,GAS,5125507.458,196602760.9,23742649.24,10.63781539,0,15.6360929,26.27390829,2.943212287,5.170716121,16.96344629,2.414817594,53.76610058,14.87153093,0,17.116833,31.98836393,2.943212287,5.170716121,16.96344629,2.414817594,59.48055622,406.8533592,0,94.96352033,501.8168795,47.65242814,0,14.29825907,61.95068721,88580.50333,0,2243.557791,90824.06113,2.225029159,0,3.023459762,5.248488921,0.413692245,0,0.060534802,0.474227048,1.733739577,7.96436618,10.1723328,0.380959563,0,0.055771027,0.43673059,0.433434894,3.413299791,4.283465276,0.876575889,0,0.022201823,0.898777712,3.122815437,0,1.220008806,4.342824243,9586.770525
Statewide,2016,LDT2,Aggregated,Aggregated,DSL,14541.19487,673091.0686,71501.66192,0.022085185,0,0,0.022085185,0,0,0,0,0.022085185,0.025142515,0,0,0.025142515,0,0,0,0,0.025142515,0.141025079,0,0,0.141025079,0.089894748,0,0,0.089894748,248.0829307,0,0,248.0829307,0.001025815,0,0,0.001025815,0.010966026,0,0,0.010966026,0.005935647,0.027266879,0.044168553,0.010491641,0,0,0.010491641,0.001483912,0.011685805,0.023661358,0.002345276,0,0,0.002345276,0.038995182,0,0,0.038995182,22.10990258
Statewide,2016,LDT2,Aggregated,Aggregated,ELEC,5199.680296,193389.3035,26760.75022,0,0,0,0,0.000113751,0.00014419,0,3.68476E-05,0.000294789,0,0,0,0,0.000113751,0.00014419,0,3.68476E-05,0.000294789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001705402,0.007834189,0.009539591,0,0,0,0,0.00042635,0.00335751,0.00378386,0,0,0,0,0,0,0,0,0
Statewide,2016,LHDT1,Aggregated,Aggregated,GAS,491142.3589,17752411.54,7317289.346,2.563960534,0.258951249,1.663694385,4.486606168,0.046032092,1.52846369,10.4388084,0.021788092,16.52169845,3.485693742,0.376181362,1.818916158,5.680791262,0.046032092,1.52846369,10.4388084,0.021788092,17.71588354,52.5699916,2.009401974,17.51327928,72.09267286,9.203050184,0.022577885,4.680953199,13.90658127,18813.44916,67.63046427,165.9408272,19047.02045,0.453822227,0.068108457,0.305503899,0.827434584,0.052244633,0,0.006330778,0.058575411,0.156549472,1.495830208,1.710955091,0.048241917,0,0.005883131,0.054125048,0.039137368,0.641070089,0.734332505,0.186174331,0.000669258,0.001642119,0.188485708,0.510098368,0.001656793,0.347565536,0.859320697,2010.474009
