Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,VMT,Trips,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HTSK,ROG_RUNLS,ROG_RESTL,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HTSK,TOG_RUNLS,TOG_RESTL,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,PM2_5_RUNEX,PM2_5_IDLEX,PM2_5_STREX,PM2_5_TOTEX,PM2_5_PMTW,PM2_5_PMBW,PM2_5_TOTAL,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,Fuel Consumption
Statewide,2013,HHDT,Aggregated,Aggregated,GAS,2783.24028,206804.3724,55687.07151,0.454667668,0,7.85591E-06,0.454675524,0.000677385,0.045993842,0.188907326,0.000318155,0.690572231,0.583211372,0,8.60123E-06,0.583219973,0.000677385,0.045993842,0.188907326,0.000318155,0.81911668,16.95770375,0,0.179593419,17.13729716,1.772799756,0,0.027007308,1.799807064,540.0173066,0,5.68781847,545.7051251,0.066278558,0,1.50159E-06,0.06628006,0.000938117,0,0.00037898,0.001317097,0.004559256,0.014074423,0.019950777,0.000884873,0,0.000360376,0.001245249,0.001139814,0.006031896,0.008416959,0.005356873,0,5.64221E-05,0.005413295,0.052589555,0,0.00071836,0.053307915,57.74066231
Statewide,2013,HHDT,Aggregated,Aggregated,DSL,250984.7005,32519645.8,2669207.471,24.32192661,1.917955549,0,26.23988216,0,0,0,0,26.23988216,27.68866203,2.183446396,0,29.87210843,0,0,0,0,29.87210843,81.61125975,9.30825028,0,90.91951003,373.5075401,19.2881931,1.371281676,394.1670149,61917.15373,2661.717493,0,64578.87122,1.129690497,0.089084068,0,1.218774565,12.82044874,0.261651935,0,13.08210067,1.277036349,2.190117339,16.54925436,12.2658418,0.250332988,0,12.51617479,0.319259087,0.938621717,13.77405559,0.584160837,0.025112122,0,0.609272959,9.719175267,0.417811499,0,10.13698677,5747.576462
Statewide,2013,HHDT,Aggregated,Aggregated,NG,3151.902389,127829.7572,12292.41932,0.141872857,0.000731476,0,0.142604333,0,0,0,0,0.142604333,1.218695708,0.006979827,0,1.225675534,0,0,0,0,1.225675534,1.307300033,0.062234633,0,1.369534666,1.483655067,0.135013285,0,1.618668353,522.3892665,16.41630517,0,538.8055717,1.052529123,0.006120118,0,1.058649241,0.002667052,0.000623586,0,0.003290638,0.005072695,0.008699671,0.017063005,0.002551677,0.00059661,0,0.003148287,0.001268174,0.003728431,0.008144891,0,0,0,0,0.106687396,0.003352697,0,0.110040093,62.39170095
Statewide,2013,LDA,Aggregated,Aggregated,GAS,13167418.17,487795525.9,61239768.27,32.55488327,0,43.0986072,75.65349047,9.10707639,15.09979573,33.56427674,6.505321492,139.9299608,44.89242023,0,47.16434821,92.05676843,9.10707639,15.09979573,33.56427674,6.505321492,156.3332388,1115.733981,0,217.7536856,1333.487667,98.33348223,0,27.00389463,125.3373769,177240.8172,0,4667.979889,181908.7971,6.547097907,0,7.996485882,14.54358379,1.152602793,0,0.199105984,1.351708776,4.301620205,19.76056782,25.4138968,1.062067578,0,0.183997987,1.246065565,1.075405051,8.468814779,10.7902854,1.758196595,0,0.046305509,1.804502104,7.120307576,0,2.519364175,9.639671751,19247.63749
Statewide,2013,LDA,Aggregated,Aggregated,DSL,87033.60044,3038270.569,391283.5904,0.216279741,0,0,0.216279741,0,0,0,0,0.216279741,0.246220106,0,0,0.246220106,0,0,0,0,0.246220106,1.76336051,0,0,1.76336051,1.68397533,0,0,1.68397533,875.407641,0,0,875.407641,0.010045781,0,0,0.010045781,0.146709049,0,0,0.146709049,0.02679296,0.123080161,0.29658217,0.140362481,0,0,0.140362481,0.00669824,0.05274864,0.199809361,0.008264408,0,0,0.008264408,0.137413298,0,0,0.137413298,77.91205168
Statewide,2013,LDA,Aggregated,Aggregated,ELEC,32982.76488,1075547.794,165230.8787,0,0,0,0,0.000739735,0.000890285,0,0.000245007,0.001875027,0,0,0,0,0.000739735,0.000890285,0,0.000245007,0.001875027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009484708,0.043570377,0.053055085,0,0,0,0,0.002371177,0.018673019,0.021044196,0,0,0,0,0,0,0,0,0
Statewide,2013,LDT1,Aggregated,Aggregated,GAS,1458365.373,46457816.49,6385652.504,9.749298527,0,7.580206354,17.32950488,2.315397193,3.525538606,12.94095892,1.540502712,37.65190231,12.69058817,0,8.292402762,20.98299093,2.315397193,3.525538606,12.94095892,1.540502712,41.30538836,260.4574342,0,30.24209483,290.6995291,26.54422636,0,4.44800208,30.99222844,19968.37891,0,593.6903007,20562.06921,1.677270355,0,1.295070247,2.972340601,0.274489807,0,0.042518044,0.317007851,0.409687813,1.88200339,2.608699053,0.253738847,0,0.03936867,0.293107517,0.102421953,0.806572881,1.202102352,0.198082678,0,0.0058893,0.203971978,1.49628964,0,0.320759063,1.817048703,2175.657585
Statewide,2013,LDT1,Aggregated,Aggregated,DSL,3457.809794,79436.18815,13120.95925,0.019823229,0,0,0.019823229,0,0,0,0,0.019823229,0.022567428,0,0,0.022567428,0,0,0,0,0.022567428,0.119511481,0,0,0.119511481,0.120421957,0,0,0.120421957,40.69026551,0,0,40.69026551,0.000920751,0,0,0.000920751,0.015051416,0,0,0.015051416,0.000700507,0.003217955,0.018969879,0.014400299,0,0,0.014400299,0.000175127,0.001379124,0.015954549,0.000384142,0,0,0.000384142,0.006387177,0,0,0.006387177,3.621469497
Statewide,2013,LDT1,Aggregated,Aggregated,ELEC,1907.660111,54235.89172,9094.969556,0,0,0,0,4.33048E-05,4.90048E-05,0,1.40696E-05,0.000106379,0,0,0,0,4.33048E-05,4.90048E-05,0,1.40696E-05,0.000106379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000478279,0.002197093,0.002675371,0,0,0,0,0.00011957,0.000941611,0.001061181,0,0,0,0,0,0,0,0,0
Statewide,2013,LDT2,Aggregated,Aggregated,GAS,4769203.371,174803903.7,22194017.03,14.66306175,0,18.32152914,32.98459089,3.137629552,5.230361784,18.32339679,2.322772601,61.99875162,20.00276029,0,20.05366696,40.05642725,3.137629552,5.230361784,18.32339679,2.322772601,69.07058798,500.7088034,0,100.4961032,601.2049066,63.06755081,0,16.7848032,79.85235401,83353.53757,0,2227.274738,85580.81231,2.865769899,0,3.399725489,6.265495387,0.431685222,0,0.067080454,0.498765675,1.541506562,7.081295771,9.121568008,0.398148672,0,0.061920489,0.460069161,0.385376641,3.034841045,3.880286846,0.826851897,0,0.022094159,0.848946056,3.828667364,0,1.288530213,5.117197577,9055.243494
