Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,VMT,Trips,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HTSK,ROG_RUNLS,ROG_RESTL,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HTSK,TOG_RUNLS,TOG_RESTL,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,PM2_5_RUNEX,PM2_5_IDLEX,PM2_5_STREX,PM2_5_TOTEX,PM2_5_PMTW,PM2_5_PMBW,PM2_5_TOTAL,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,Fuel Consumption
Statewide,2002,HHDT,Aggregated,Aggregated,GAS,5787.816546,404420.66,115802.6335,1.809254534,0,0,1.809254534,0.001738584,0.135494051,0.725074593,0.000743915,2.672305678,2.099430095,0,0,2.099430095,0.001738585,0.136077662,0.728197695,0.000743915,2.966187952,51.98595164,0,0.377378231,52.36332987,7.020806165,0,0.058634858,7.079441023,1111.898208,0,15.28681487,1127.185023,0.230382328,0,0,0.230382328,0.004143534,0,0.001164899,0.005308433,0.008915949,0.027523536,0.041747918,0.003896641,0,0.001108922,0.005005563,0.002228987,0.011795801,0.019030351,0.015174805,0,0.000208611,0.015383416,0.171414523,0,0.002416976,0.173831499,115.3720212
Statewide,2002,HHDT,Aggregated,Aggregated,DSL,178235.7663,31726592.43,1797737.933,51.14358052,5.075310215,0,56.21889074,0,0,0,0,56.21889074,58.22307331,5.777854341,0,64.00092765,0,0,0,0,64.00092765,151.5810472,19.40027865,0,170.9813258,774.190321,41.07719166,0,815.2675127,63068.27164,2619.177818,0,65687.44946,2.375486852,0.235735014,0,2.611221867,25.44728983,0.848488192,0,26.29577802,1.24589887,2.136716562,29.67839345,24.34645134,0.811782968,0,25.15823431,0.311474718,0.915735669,26.38544469,5.431668882,0.226060195,0,5.657729077,9.887864699,0.410635573,0,10.29850027,5839.153106
Statewide,2002,HHDT,Aggregated,Aggregated,NG,184.8037355,9669.444763,720.7345683,0.031825935,0.000155592,0,0.031981526,0,0,0,0,0.031981526,0.216313818,0.001057523,0,0.217371341,0,0,0,0,0.217371341,0.010786948,0.005857968,0,0.016644916,0.406137219,0.015058228,0,0.421195447,36.4576746,0.936056925,0,37.39373153,0.179282155,0.000876481,0,0.180158636,0.000807139,0.000179339,0,0.000986478,0.000383715,0.000658071,0.002028263,0.000772223,0.00017158,0,0.000943803,9.59286E-05,0.00028203,0.001321762,0,0,0,0,0.007495859,0.000192457,0,0.007688317,4.359203402
Statewide,2002,LDA,Aggregated,Aggregated,GAS,13062136.24,509254766.5,61186419.1,126.7688151,0,95.36547785,222.1342929,18.44523477,29.43562098,109.4050795,9.579094079,388.9993222,151.9621623,0,101.9501394,253.9123018,18.44524105,29.56240853,109.8763181,9.579097336,421.3753668,3055.016078,0,449.8392251,3504.855303,380.7044691,0,60.56529625,441.2697654,204814.2681,0,5766.311348,210580.5795,21.65738908,0,16.06960465,37.72699373,5.279137044,0,0.702898842,5.982035885,4.490858314,20.62988038,31.10277458,4.867099855,0,0.649852036,5.516951891,1.122714579,8.841377306,15.48104378,2.766693062,0,0.078033014,2.844726076,23.11867158,0,4.142875842,27.26154743,21553.78806
Statewide,2002,LDA,Aggregated,Aggregated,DSL,89933.91287,2300568.992,372232.1915,0.847034747,0,0,0.847034747,0,0,0,0,0.847034747,0.964292744,0,0,0.964292744,0,0,0,0,0.964292744,4.358248186,0,0,4.358248186,4.146903675,0,0,4.146903675,902.3895134,0,0,902.3895134,0.039343145,0,0,0.039343145,0.678913662,0,0,0.678913662,0.020287546,0.093195913,0.792397121,0.649544157,0,0,0.649544157,0.005071886,0.039941106,0.694557149,0.077076477,0,0,0.077076477,0.141476929,0,0,0.141476929,80.21609263
Statewide,2002,LDA,Aggregated,Aggregated,ELEC,4827.790047,167771.5088,24438.3285,0,0,0,0,0.000132415,0.000132132,0,4.83487E-05,0.000312896,0,0,0,0,0.000132415,0.000132701,0,4.83487E-05,0.000313465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001479491,0.006796414,0.008275905,0,0,0,0,0.000369873,0.002912749,0.003282622,0,0,0,0,0,0,0,0,0
Statewide,2002,LDT1,Aggregated,Aggregated,GAS,2121109.039,76785163.96,9655523.771,36.73419107,0,17.28863033,54.0228214,3.928510271,7.029918954,26.83028704,2.153173267,93.96471093,42.38014847,0,18.50454772,60.88469618,3.928511607,7.060198806,26.94585268,2.153173999,100.9724333,808.8624319,0,92.12461509,900.987047,96.44959058,0,11.58722855,108.0368191,35609.24236,0,1085.673985,36694.91634,5.406769323,0,2.779003096,8.185772419,1.0336674,0,0.137126428,1.170793828,0.677129238,3.110562437,4.958485503,0.957842524,0,0.127430275,1.085272799,0.169282309,1.333098187,2.587653296,0.483678859,0,0.014798602,0.49847746,4.880098033,0,0.685404885,5.565502917,3755.875549
Statewide,2002,LDT1,Aggregated,Aggregated,DSL,6247.424508,171828.965,26034.07341,0.056183582,0,0,0.056183582,0,0,0,0,0.056183582,0.063961273,0,0,0.063961273,0,0,0,0,0.063961273,0.326392188,0,0,0.326392188,0.302169419,0,0,0.302169419,83.80117886,0,0,83.80117886,0.00260962,0,0,0.00260962,0.047056136,0,0,0.047056136,0.001515272,0.006960781,0.055532189,0.045020508,0,0,0.045020508,0.000378818,0.002983192,0.048382518,0.007224575,0,0,0.007224575,0.013138377,0,0,0.013138377,7.449336485
Statewide,2002,LDT1,Aggregated,Aggregated,ELEC,1128.969616,36079.23567,5554.690249,0,0,0,0,2.72035E-05,3.00329E-05,0,8.85175E-06,6.60881E-05,0,0,0,0,2.72035E-05,3.01622E-05,0,8.85175E-06,6.62174E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000318164,0.001461568,0.001779732,0,0,0,0,7.95411E-05,0.000626386,0.000705927,0,0,0,0,0,0,0,0,0
Statewide,2002,LDT2,Aggregated,Aggregated,GAS,3830229.354,155014192.6,18262599.97,41.22738395,0,31.41385376,72.64123771,4.527657715,6.962140735,27.00980938,2.253302151,113.3941477,49.40171866,0,33.56924567,82.97096434,4.527659254,6.992128646,27.12614828,2.253302917,123.8702034,1076.397635,0,156.524906,1232.922541,193.0175092,0,32.42759522,225.4451044,85724.00119,0,2260.243015,87984.2442,6.967072446,0,5.307810567,12.27488301,1.415082151,0,0.172029643,1.587111794,1.366991183,6.279615747,9.233718725,1.305694106,0,0.158955328,1.464649433,0.341747796,2.691263892,4.497661121,1.159155762,0,0.030627983,1.189783745,10.11831893,0,1.907167972,12.02548691,9005.549118
