Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,VMT,Trips,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_TOTEX,ROG_DIURN,ROG_HTSK,ROG_RUNLS,ROG_RESTL,ROG_TOTAL,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_TOTEX,TOG_DIURN,TOG_HTSK,TOG_RUNLS,TOG_RESTL,TOG_TOTAL,CO_RUNEX,CO_IDLEX,CO_STREX,CO_TOTEX,NOx_RUNEX,NOx_IDLEX,NOx_STREX,NOx_TOTEX,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CO2_TOTEX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,CH4_TOTEX,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_TOTEX,PM10_PMTW,PM10_PMBW,PM10_TOTAL,PM2_5_RUNEX,PM2_5_IDLEX,PM2_5_STREX,PM2_5_TOTEX,PM2_5_PMTW,PM2_5_PMBW,PM2_5_TOTAL,SOx_RUNEX,SOx_IDLEX,SOx_STREX,SOx_TOTEX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,N2O_TOTEX,Fuel Consumption
Statewide,2004,HHDT,Aggregated,Aggregated,GAS,5790.829847,478034.2449,115862.9236,1.41578105,0,3.89739E-05,1.415820024,0.001742504,0.119796615,0.630500696,0.00080505,2.168664889,1.788414723,0,4.26715E-05,1.788457394,0.001742504,0.119796615,0.630500696,0.00080505,2.541302259,43.94407078,0,0.441984918,44.3860557,5.66583755,0,0.053642935,5.719480485,1262.646124,0,14.31212714,1276.958251,0.197654988,0,7.78222E-06,0.19766277,0.003216013,0,0.001057493,0.004273507,0.010538851,0.032533433,0.047345791,0.003025995,0,0.001006719,0.004032714,0.002634713,0.0139429,0.020610326,0.012314422,0,0.000139584,0.012454006,0.15039578,0,0.001984328,0.152380109,132.8400764
Statewide,2004,HHDT,Aggregated,Aggregated,DSL,210947.4785,32958038.71,2152434.091,52.72702239,5.446476494,0,58.17349888,0,0,0,0,58.17349888,60.02570134,6.200398896,0,66.22610024,0,0,0,0,66.22610024,154.2452127,22.1211868,0,176.3663995,743.6895734,50.10341792,0,793.7929913,65188.00051,3127.308892,0,68315.3094,2.449033626,0.252974727,0,2.702008353,25.7626621,0.887054727,0,26.64971683,1.294383878,2.21986835,30.16396906,24.64818075,0.848681132,0,25.49686188,0.323595969,0.95137215,26.77183,5.61460021,0.269913437,0,5.884513647,10.21944892,0.490264669,0,10.70971359,6072.307201
Statewide,2004,HHDT,Aggregated,Aggregated,NG,295.5181664,14034.92589,1152.520849,0.047160611,0.000230968,0,0.047391578,0,0,0,0,0.047391578,0.32054021,0.001569836,0,0.322110047,0,0,0,0,0.322110047,0.019214689,0.009105252,0,0.028319941,0.554230787,0.024456054,0,0.578686841,53.40956949,1.508357931,0,54.91792742,0.265665596,0.00130109,0,0.266966686,0.00120275,0.000260853,0,0.001463602,0.000556951,0.000955171,0.002975724,0.001150719,0.000249568,0,0.001400288,0.000139238,0.000409359,0.001948884,0,0,0,0,0.010973608,0.000309909,0,0.011283517,6.397648439
Statewide,2004,LDA,Aggregated,Aggregated,GAS,13336104.84,493715106.3,62405876.67,93.63349627,0,85.91355996,179.5470562,18.59566752,25.48602821,86.75399562,11.04129515,321.4240427,126.032924,0,93.98944709,220.0223711,18.59566752,25.48602821,86.75399561,11.04129515,361.8993576,2691.539842,0,393.0535139,3084.593356,302.7476474,0,53.76151317,356.5091605,194388.3439,0,5590.243111,199978.587,17.72752354,0,14.93713515,32.66465869,4.034778125,0,0.587904587,4.622682712,4.353821969,20.00036967,28.97687435,3.719835124,0,0.543659469,4.263494593,1.088455492,8.571587001,13.92353709,1.895844006,0,0.054520907,1.950364914,18.88190468,0,3.831536581,22.71344126,20803.47634
Statewide,2004,LDA,Aggregated,Aggregated,DSL,81841.63467,1969056.845,336200.4151,0.638853056,0,0,0.638853056,0,0,0,0,0.638853056,0.72729173,0,0,0.72729173,0,0,0,0,0.72729173,3.528071437,0,0,3.528071437,3.556873959,0,0,3.556873959,749.1320386,0,0,749.1320386,0.029673503,0,0,0.029673503,0.50673168,0,0,0.50673168,0.017364109,0.079766376,0.603862165,0.484810691,0,0,0.484810691,0.004341027,0.03418559,0.523337308,0.064069907,0,0,0.064069907,0.11744058,0,0,0.11744058,66.58770797
Statewide,2004,LDA,Aggregated,Aggregated,ELEC,9331.987516,298812.3706,46839.04165,0,0,0,0,0.000235928,0.00024572,0,8.19861E-05,0.000563634,0,0,0,0,0.000235928,0.00024572,0,8.19861E-05,0.000563634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002635074,0.012104871,0.014739945,0,0,0,0,0.000658769,0.005187802,0.005846571,0,0,0,0,0,0,0,0,0
Statewide,2004,LDT1,Aggregated,Aggregated,GAS,1991553.707,66467176.07,8958774.367,28.2713716,0,15.23569166,43.50706327,4.055423204,6.143464014,23.98362536,2.468154771,80.15773062,35.04940634,0,16.65365659,51.70306293,4.055423204,6.143464014,23.98362536,2.468154771,88.35373028,670.4430821,0,75.33056326,745.7736454,75.69896658,0,9.825356719,85.5243233,30321.05211,0,966.2437342,31287.29585,4.429099384,0,2.508047221,6.937146605,0.809803972,0,0.115740702,0.925544674,0.58614016,2.69258136,4.204266194,0.750372304,0,0.10753993,0.857912235,0.14653504,1.15396344,2.158410715,0.295717242,0,0.009423648,0.30514089,3.88913708,0,0.5935468,4.48268388,3254.771067
Statewide,2004,LDT1,Aggregated,Aggregated,DSL,5901.375392,151277.5012,24234.50238,0.046400217,0,0,0.046400217,0,0,0,0,0.046400217,0.052823562,0,0,0.052823562,0,0,0,0,0.052823562,0.276987147,0,0,0.276987147,0.267282246,0,0,0.267282246,75.30475382,0,0,75.30475382,0.002155201,0,0,0.002155201,0.038459707,0,0,0.038459707,0.001334039,0.006128243,0.045921989,0.036795957,0,0,0.036795957,0.00033351,0.00262639,0.039755857,0.006483968,0,0,0.006483968,0.011805441,0,0,0.011805441,6.693574294
Statewide,2004,LDT1,Aggregated,Aggregated,ELEC,1394.005733,40185.61669,6741.993364,0,0,0,0,3.35346E-05,3.53689E-05,0,1.10351E-05,7.99386E-05,0,0,0,0,3.35346E-05,3.53689E-05,0,1.10351E-05,7.99386E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000354376,0.001627917,0.001982293,0,0,0,0,8.85941E-05,0.000697679,0.000786273,0,0,0,0,0,0,0,0,0
Statewide,2004,LDT2,Aggregated,Aggregated,GAS,4327132.693,166280651.5,20617948.67,32.99116619,0,30.75850822,63.74967442,4.923525131,6.423857524,25.98560101,2.869271239,103.9519293,44.39664449,0,33.66129318,78.05793767,4.923525131,6.423857524,25.98560101,2.869271239,118.2601926,1022.82514,0,154.0168387,1176.841979,165.5430453,0,31.34200647,196.8850518,89319.54325,0,2426.705859,91746.2491,6.197094726,0,5.389908588,11.58700331,1.180390796,0,0.157365601,1.337756397,1.466344343,6.736019326,9.540120066,1.089057876,0,0.145375846,1.234433722,0.366586086,2.886865425,4.487885233,0.871121783,0,0.023667344,0.894789127,8.940165528,0,1.929919337,10.87008487,9544.226466
